municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
Esteio (RS),"0,754","0,769","0,843","0,662"
Mongaguá (SP),"0,754","0,719","0,854","0,699"
Analândia (SP),"0,754","0,745","0,861","0,668"
Neves Paulista (SP),"0,754","0,737","0,823","0,707"
Vera Cruz (SP),"0,754","0,722","0,830","0,715"
Praia Grande (SP),"0,754","0,744","0,834","0,692"
Cunhataí (SC),"0,754","0,777","0,886","0,623"
Rodeio (SC),"0,754","0,769","0,889","0,626"
Corumbataí (SP),"0,754","0,728","0,841","0,700"
Lauro de Freitas (BA),"0,754","0,781","0,827","0,663"
Chapadão do Sul (MS),"0,754","0,758","0,850","0,665"
Constantina (RS),"0,754","0,726","0,885","0,668"
Rio Verde (GO),"0,754","0,765","0,853","0,656"
Registro (SP),"0,754","0,718","0,851","0,702"
Flores da Cunha (RS),"0,754","0,786","0,849","0,642"
Rancho Queimado (SC),"0,753","0,743","0,893","0,644"
