municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao,cod_municipio,cod_estado,estado
Praia Norte,"0,583","0,526","0,730","0,517",1718303,17,TO
Pugmil,"0,669","0,621","0,809","0,595",1718451,17,TO
Alvorada,"0,708","0,677","0,843","0,623",1700707,17,TO
Santa Rosa do Tocantins,"0,595","0,574","0,780","0,471",1718907,17,TO
Santa Tereza do Tocantins,"0,662","0,618","0,817","0,575",1719004,17,TO
Colinas do Tocantins,"0,701","0,690","0,814","0,614",1705508,17,TO
Couto Magalhães,"0,605","0,574","0,760","0,508",1706001,17,TO
Rio Sono,"0,600","0,574","0,779","0,482",1718758,17,TO
São Félix do Tocantins,"0,574","0,550td&gt;","0,771","0,446",1720150,17,TO
São Valério,"0,643","0,605","0,814","0,539",1720499,17,TO
Silvanópolis,"0,675","0,638","0,814","0,592",1720655,17,TO
Sítio Novo do Tocantins,"0,604","0,550","0,762","0,526",1720804,17,TO
Taguatinga,"0,634","0,628","0,818","0,497",1720903,17,TO
Palmas,"0,788","0,789","0,827","0,749",1721000,17,TO
Tocantinópolis,"0,681","0,634","0,801","0,623",1721208,17,TO
Pium,"0,650","0,633","0,822","0,527",1717503,17,TO
Brasilândia do Tocantins,"0,684","0,640","0,831","0,601",1703602,17,TO
Brejinho de Nazaré,"0,686","0,635","0,820","0,619",1703701,17,TO
Buriti do Tocantins,"0,627","0,575","0,713","0,601",1703800,17,TO
Cariri do Tocantins,"0,662","0,639","0,826","0,549",1703867,17,TO
Cachoeirinha,"0,757","0,749","0,857","0,675",1703826,17,TO
Chapada da Natividade,"0,620","0,590","0,814","0,497",1705102,17,TO
Chapada de Areia,"0,619","0,619","0,726","0,529",1704600,17,TO
Palmeirópolis,"0,673","0,652","0,817","0,571",1715754,17,TO
Paraíso do Tocantins,"0,764","0,759","0,831","0,706",1716109,17,TO
Combinado,"0,697","0,649","0,815","0,639",1705557,17,TO
Cristalândia,"0,673","0,663","0,805","0,570",1706100,17,TO
Dois Irmãos do Tocantins,"0,583","0,551","0,813","0,442",1707207,17,TO
Figueirópolis,"0,689","0,664","0,822","0,600",1707652,17,TO
Ponte Alta do Bom Jesus,"0,603","0,589","0,820","0,455",1717800,17,TO
Bom Jesus do Tocantins,"0,660","0,621","0,833","0,555",1703305,17,TO
Campos Lindos,"0,544","0,578","0,738","0,377",1703842,17,TO
Caseara,"0,658","0,647","0,825","0,534",1703909,17,TO
Lagoa do Tocantins,"0,579","0,543","0,758","0,471",1711951,17,TO
Juarina,"0,584","0,563","0,742","0,478",1711803,17,TO
Angico,"0,648","0,576","0,773","0,612",1701051,17,TO
Lizarda,"0,570","0,584","0,765","0,415",1712405,17,TO
Itacajá,"0,612","0,585","0,798","0,491",1710508,17,TO
Carmolândia,"0,640","0,621","0,810","0,521",1703883,17,TO
Aparecida do Rio Negro,"0,651","0,593","0,791","0,588",1701101,17,TO
Santa Fé do Araguaia,"0,616","0,604","0,804","0,482",1718865,17,TO
Carrasco Bonito,"0,594","0,543","0,728","0,531",1703891,17,TO
Tupiratins,"0,587","0,601","0,791","0,425",1721307,17,TO
Piraquê,"0,621","0,593","0,792","0,511",1717206,17,TO
Sandolândia,"0,659","0,626","0,791","0,578",1718840,17,TO
São Salvador do Tocantins,"0,605","0,592","0,794","0,471",1720259,17,TO
Santa Terezinha do Tocantins,"0,637","0,583","0,758","0,584",1720002,17,TO
Araguanã,"0,604","0,617","0,756","0,473",1702158,17,TO
Arraias,"0,651","0,636","0,829","0,523",1702406,17,TO
Riachinho,"0,632","0,577","0,795","0,551",1718550,17,TO
Dueré,"0,679","0,654","0,846","0,566",1707306,17,TO
Miranorte,"0,662","0,633","0,804","0,571",1713304,17,TO
Monte do Carmo,"0,622","0,608","0,808","0,489",1713601,17,TO
Natividade,"0,730","0,707","0,806","0,683",1714203,17,TO
