uf,cod_uf,cod_setor,cod_municipio,municipio,distrito,tipo,geometria
SE,28,280010005000001,2800100,Propriá,AMPARO DE SÃO FRANCISCO,Polygon,"((-36.9251968999707, -10.1305284891002), (-36.9248117047026, -10.1309238186373), (-36.9264696999386, -10.1374031668822), (-36.9289416522306, -10.1375836054005), (-36.9293770802205, -10.1339614161775), (-36.9288174459977, -10.1302990401971), (-36.9280894681262, -10.1307285669221), (-36.9278017169547, -10.1306768682077), (-36.9273207077363, -10.1312485023511), (-36.926420239835, -10.1304546993681), (-36.9259665047681, -10.1302149902762), (-36.9251968999707, -10.1305284891002))"
SE,28,280010005000002,2800100,Propriá,AMPARO DE SÃO FRANCISCO,Polygon,"((-36.9247966317697, -10.1308875842114), (-36.9251968999707, -10.1305284891002), (-36.9259665047681, -10.1302149902762), (-36.926420239835, -10.1304546993681), (-36.9273207077363, -10.1312485023511), (-36.9278017169547, -10.1306768682077), (-36.9280894681262, -10.1307285669221), (-36.9288174459977, -10.1302990401971), (-36.9270714713078, -10.1279448810714), (-36.9266606026233, -10.1279056985186), (-36.9245007794554, -10.1276997277887), (-36.923773606804, -10.1287436048123), (-36.9247966317697, -10.1308875842114))"
SE,28,280010005000003,2800100,Propriá,AMPARO DE SÃO FRANCISCO,Polygon,"((-36.9185258559947, -10.132152905125), (-36.9174124250076, -10.1332108862801), (-36.9174125526138, -10.1332109606102), (-36.920027075268, -10.1347339104041), (-36.9202341067929, -10.1348759901454), (-36.9202383911212, -10.1348789303559), (-36.9239816986117, -10.1367153524838), (-36.9241125742516, -10.1367795585159), (-36.9241163237748, -10.136285516837), (-36.9220897463269, -10.1341824256925), (-36.9185258559947, -10.132152905125))"
SE,28,280010005000004,2800100,Propriá,AMPARO DE SÃO FRANCISCO,Polygon,"((-36.9270714713078, -10.1279448810714), (-36.9271700431769, -10.1280777889918), (-36.9288174459977, -10.1302990401972), (-36.9288393714116, -10.1303286030045), (-36.9293770802206, -10.1339614161775), (-36.9289416522306, -10.1375836054005), (-36.9264696999386, -10.1374031668822), (-36.9241125742516, -10.1367795585159), (-36.9239816986117, -10.1367153524838), (-36.9202383911212, -10.1348789303559), (-36.9202341067929, -10.1348759901454), (-36.920027075268, -10.1347339104041), (-36.9174125526139, -10.1332109606102), (-36.9141719518326, -10.1362924713158), (-36.9108938927543, -10.1379432437147), (-36.8972790582262, -10.1419453276598), (-36.8876048523264, -10.1430218665499), (-36.8805968161878, -10.1450685562717), (-36.9034359610506, -10.1739002488742), (-36.9039959080968, -10.1695336239918), (-36.9050274216877, -10.1681354092627), (-36.9057622123843, -10.1636933306262), (-36.9054778863478, -10.1593199986383), (-36.9063573604453, -10.1569067727418), (-36.9066823438543, -10.1554254414032), (-36.9080242166071, -10.1544981771699), (-36.909598735031, -10.1541959656041), (-36.9120199109452, -10.156275317312), (-36.9126548708288, -10.1557760300117), (-36.9154074567615, -10.1544836244142), (-36.9165410340568, -10.1552439635775), (-36.9184048766029, -10.1549145100988), (-36.9192013322404, -10.1542688069896), (-36.9228920253417, -10.1530318137877), (-36.925801689339, -10.1528942181445), (-36.9272142058339, -10.1532155164554), (-36.9282312404886, -10.1540021396872), (-36.9301737357779, -10.1576039793909), (-36.9318911325176, -10.1594877445354), (-36.9347917837543, -10.1605203338188), (-36.936286841419, -10.160686110381), (-36.9395165836853, -10.1594571707248), (-36.940096698612, -10.1583883675212), (-36.9399493760516, -10.1553445976037), (-36.9347422616328, -10.120940710737), (-36.9338382485407, -10.1216532841542), (-36.9326197117516, -10.1234444324417), (-36.930396408261, -10.1249946336059), (-36.9283090255986, -10.1262461144209), (-36.9267907438984, -10.127868656367), (-36.9270714713078, -10.1279448810714))"
SE,28,280010005000005,2800100,Propriá,AMPARO DE SÃO FRANCISCO,Polygon,"((-36.940096698612, -10.1583883675212), (-36.9395165836853, -10.1594571707248), (-36.936286841419, -10.160686110381), (-36.9347917837543, -10.1605203338188), (-36.9318911325176, -10.1594877445354), (-36.9301737357779, -10.1576039793909), (-36.9282312404886, -10.1540021396872), (-36.9272142058339, -10.1532155164554), (-36.925801689339, -10.1528942181445), (-36.9228920253417, -10.1530318137877), (-36.9192013322404, -10.1542688069896), (-36.9184048766029, -10.1549145100988), (-36.9165410340568, -10.1552439635775), (-36.9154074567615, -10.1544836244142), (-36.9126548708288, -10.1557760300117), (-36.9120199109452, -10.156275317312), (-36.909598735031, -10.1541959656041), (-36.9080242166071, -10.1544981771699), (-36.9066823438543, -10.1554254414032), (-36.9063573604453, -10.1569067727418), (-36.9054778863478, -10.1593199986383), (-36.9057622123843, -10.1636933306262), (-36.9050274216877, -10.1681354092627), (-36.9039959080968, -10.1695336239918), (-36.9034359610506, -10.1739002488742), (-36.9052770088421, -10.1762249495121), (-36.9215283788925, -10.1980877575043), (-36.9434241051119, -10.2275438622327), (-36.9403372069789, -10.162419147096), (-36.940096698612, -10.1583883675212))"
SE,28,280010005000006,2800100,Propriá,AMPARO DE SÃO FRANCISCO,Polygon,"((-36.9264696999386, -10.1374031668822), (-36.9248117047026, -10.1309238186373), (-36.9247966317697, -10.1308875842114), (-36.923773606804, -10.1287436048123), (-36.9235510700805, -10.1298160774003), (-36.9215620774244, -10.1283136490776), (-36.9197391316075, -10.130998599829), (-36.9185258559947, -10.132152905125), (-36.9220897463269, -10.1341824256925), (-36.9241163237748, -10.136285516837), (-36.9241125742516, -10.1367795585159), (-36.9264696999386, -10.1374031668822))"
SE,28,280020905000001,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0279023228419, -10.2949912193987), (-37.0239861586445, -10.2932801565233), (-37.0225481495287, -10.2923742708985), (-37.0226562452435, -10.2910636103566), (-37.0232475850616, -10.2900459103313), (-37.0226189184619, -10.2902174224131), (-37.02129787108, -10.2906022635352), (-37.0216677161233, -10.2927923782765), (-37.0220521925742, -10.2938678742187), (-37.0235046985904, -10.2946827952583), (-37.0279023228419, -10.2949912193987))"
SE,28,280020905000002,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0223608345023, -10.2788023973494), (-37.0218551893547, -10.2794599059934), (-37.0191800019201, -10.2804851592215), (-37.0217111253476, -10.2860640997199), (-37.0226278096328, -10.2864878176277), (-37.0257297757442, -10.2854516274276), (-37.0254692770774, -10.2835966404945), (-37.0245288985281, -10.281715883396), (-37.0232330110151, -10.279640169769), (-37.0223729086835, -10.2788144715306), (-37.0223608345023, -10.2788023973494))"
SE,28,280020905000003,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0179169142403, -10.2689058707222), (-37.0175686098501, -10.2721909204847), (-37.01764330647, -10.2731737695585), (-37.0171172092159, -10.2749117188729), (-37.0160818220543, -10.2765680343771), (-37.0159407333612, -10.2772811454029), (-37.0173508352466, -10.2783661932916), (-37.016358153873, -10.2792769854456), (-37.0175281764243, -10.2813221151515), (-37.0181759037541, -10.2808474251947), (-37.0191800019201, -10.2804851592215), (-37.0218551893547, -10.2794599059934), (-37.0223608345023, -10.2788023973494), (-37.021799507129, -10.2779314331368), (-37.0206985761445, -10.2769681185254), (-37.0214784022586, -10.2753740622041), (-37.0191634498895, -10.2742496310991), (-37.0186952339676, -10.2689513982987), (-37.0179169142403, -10.2689058707222))"
SE,28,280020905000004,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0179169142403, -10.2689058707222), (-37.0175534126282, -10.2688846078056), (-37.0119873592191, -10.2760047732977), (-37.0109455227321, -10.2808904627702), (-37.0107390405805, -10.282705266549), (-37.0130683811304, -10.2814879751575), (-37.0148942230508, -10.2805197287502), (-37.016358153873, -10.2792769854456), (-37.0173508352466, -10.2783661932916), (-37.0159407333612, -10.2772811454029), (-37.0160818220543, -10.2765680343771), (-37.0171172092159, -10.2749117188729), (-37.01764330647, -10.2731737695585), (-37.0175686098501, -10.2721909204847), (-37.0179169142403, -10.2689058707222))"
SE,28,280020905000005,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.016358153873, -10.2792769854456), (-37.0148942230508, -10.2805197287502), (-37.0130683811304, -10.2814879751575), (-37.0154137838503, -10.2825157903464), (-37.0174398585684, -10.2813716593146), (-37.0175281764243, -10.2813221151515), (-37.016358153873, -10.2792769854456))"
SE,28,280020905000006,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0174398585684, -10.2813716593146), (-37.0154137838503, -10.2825157903464), (-37.0130683811304, -10.2814879751575), (-37.0107390405805, -10.282705266549), (-37.0115519986442, -10.2854162339715), (-37.0132118013583, -10.2856008595671), (-37.0136762820402, -10.2852338624851), (-37.015159937266, -10.2854285617621), (-37.0159840785675, -10.2838179105131), (-37.0168817721784, -10.2828999904166), (-37.0186135396591, -10.2831006919459), (-37.0174398585684, -10.2813716593146))"
SE,28,280020905000007,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0181759037541, -10.2808474251947), (-37.0175281764243, -10.2813221151515), (-37.0174398585684, -10.2813716593146), (-37.0186135396591, -10.2831006919459), (-37.0168817721784, -10.2828999904166), (-37.0159840785675, -10.2838179105131), (-37.015159937266, -10.2854285617621), (-37.0157865152618, -10.2859621223197), (-37.0174380021308, -10.2850446296146), (-37.0179254201304, -10.2860768089078), (-37.0192846404612, -10.2854587730721), (-37.0191760420242, -10.2824317640491), (-37.0181759037541, -10.2808474251947))"
SE,28,280020905000008,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0191800019201, -10.2804851592215), (-37.0181759037541, -10.2808474251947), (-37.0191760420242, -10.2824317640491), (-37.0221860268794, -10.2887547407406), (-37.0226189184619, -10.2902174224131), (-37.0232475850616, -10.2900459103313), (-37.0232777956036, -10.2892394951696), (-37.0217111253476, -10.2860640997199), (-37.0191800019201, -10.2804851592215))"
SE,28,280020905000009,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0191760420242, -10.2824317640491), (-37.0192846404612, -10.2854587730721), (-37.0195957853185, -10.2869559731946), (-37.0202259368977, -10.2881882035529), (-37.0208659099673, -10.289104375526), (-37.02129787108, -10.2906022635352), (-37.0226189184619, -10.2902174224131), (-37.0221860268794, -10.2887547407406), (-37.0191760420242, -10.2824317640491))"
SE,28,280020905000010,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0192846404612, -10.2854587730721), (-37.0179254201304, -10.2860768089078), (-37.0174380021308, -10.2850446296146), (-37.0157865152618, -10.2859621223197), (-37.015159937266, -10.2854285617621), (-37.0136762820402, -10.2852338624851), (-37.0132118013583, -10.2856008595671), (-37.0115519986442, -10.2854162339715), (-37.0106576209015, -10.2854426331875), (-37.0095496398249, -10.2864898104245), (-37.007968739996, -10.2888206242746), (-37.0079146921386, -10.291077122321), (-37.0068512803772, -10.2933192008829), (-37.0074485293686, -10.2933876682247), (-37.0076799101976, -10.2933934428556), (-37.0084484147304, -10.2936511515295), (-37.008624070267, -10.2944618693904), (-37.0086308262491, -10.2947321086774), (-37.0091394998083, -10.296514711466), (-37.0091645488409, -10.2968399751159), (-37.0092794005379, -10.2972115541355), (-37.0108805683133, -10.2969953627059), (-37.0109954200102, -10.2951644915366), (-37.0135154013614, -10.2951307116257), (-37.0141260680911, -10.2955401597316), (-37.0159648081033, -10.2956174348224), (-37.0168528565556, -10.2963197644884), (-37.0172912214967, -10.2973006511002), (-37.0182529813078, -10.2956841461446), (-37.0184096284454, -10.2943511530377), (-37.0195168996367, -10.291518713785), (-37.0193241158132, -10.2896897390494), (-37.0202259368977, -10.2881882035529), (-37.0195957853185, -10.2869559731946), (-37.0192846404612, -10.2854587730721))"
SE,28,280020905000011,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0202259368977, -10.2881882035529), (-37.0193241158132, -10.2896897390494), (-37.0195168996367, -10.291518713785), (-37.0184096284454, -10.2943511530377), (-37.0182529813078, -10.2956841461446), (-37.018836538795, -10.2957182131729), (-37.0194967727649, -10.2939252248429), (-37.0211538305717, -10.2944624740537), (-37.0218737846362, -10.2943613488672), (-37.0220521925742, -10.2938678742187), (-37.0216677161233, -10.2927923782765), (-37.02129787108, -10.2906022635352), (-37.0208659099673, -10.289104375526), (-37.0202259368977, -10.2881882035529))"
SE,28,280020905000012,2800209,Nossa Senhora das Dores,AQUIDABÃ,Polygon,"((-37.0220521925742, -10.2938678742187), (-37.0218737846362, -10.2943613488672), (-37.0198394813102, -10.2993825204707), (-37.0209814375923, -10.3001577397217), (-37.0216993264447, -10.3001661854729), (-37.0244641642418, -10.3011747136712), (-37.0245056953639, -10.3011806936629), (-37.0258715275396, -10.3006898220475), (-37.0283360096372, -10.3003488196831), (-37.0284061924827, -10.3003339714372), (-37.0336449404001, -10.2953210283183), (-37.0295857655118, -10.2950741369137), (-37.0279023228419, -10.2949912193987), (-37.0235046985904, -10.2946827952583), (-37.0220521925742, -10.2938678742187))"
