uf,cod_uf,cod_setor,cod_municipio,municipio,distrito,tipo,geometria
DF,53,530010805060156,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9125465028723, -15.8297638813389), (-47.9111930669151, -15.8315202222152), (-47.9114464924178, -15.8317074936594), (-47.9116146009232, -15.8314669547593), (-47.91194403431921, -15.8317170008295), (-47.9122926305559, -15.8312765019486), (-47.91333643860539, -15.8319919164979), (-47.9140356043188, -15.8310580825705), (-47.9143291056108, -15.8310583318396), (-47.9125465028723, -15.8297638813389))"
DF,53,530010805060362,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9040477678182, -15.8193580092168), (-47.90367953678479, -15.8198934118893), (-47.9038253468778, -15.8199964217175), (-47.9041357527014, -15.8202321393289), (-47.9035357311081, -15.8210739583597), (-47.9040227852382, -15.8214094093866), (-47.9037236547467, -15.8218774755387), (-47.9042437732609, -15.8222606045313), (-47.9041883256077, -15.8223635996577), (-47.9047508331714, -15.8227890455193), (-47.90611817406621, -15.8208673120814), (-47.9043723092245, -15.8195944420823), (-47.9040477678182, -15.8193580092168))"
DF,53,530010805060363,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9043953915769, -15.8257035319524), (-47.9035917506845, -15.8251396933241), (-47.9026489563173, -15.8263890939267), (-47.9033041349123, -15.8268679671924), (-47.9036717151087, -15.8263350726641), (-47.9046113946767, -15.8269310026218), (-47.9051335655219, -15.8262762545558), (-47.90497900525361, -15.8261545837311), (-47.9043953915769, -15.8257035319524))"
DF,53,530010805060364,5300108,Brasília,BRASÍLIA,Polygon,"((-47.90676602353609, -15.8255681345424), (-47.90644760257779, -15.8256826217137), (-47.90585498897549, -15.8264495334343), (-47.90517364178569, -15.8259329771928), (-47.90497900525361, -15.8261545837311), (-47.9051335655219, -15.8262762545558), (-47.9046113946767, -15.8269310026218), (-47.9036717151087, -15.8263350726641), (-47.9033041349123, -15.8268679671924), (-47.9050246961209, -15.8281449787671), (-47.9055186728336, -15.8274957182764), (-47.9057769509543, -15.8276616976209), (-47.9071593162609, -15.8258566924016), (-47.90676602353609, -15.8255681345424))"
DF,53,530010805060365,5300108,Brasília,BRASÍLIA,Polygon,"((-47.90886368811491, -15.8228397005491), (-47.9075617335385, -15.8219007092288), (-47.90665310229651, -15.8231313955692), (-47.907106224931, -15.8234387415239), (-47.90752157956909, -15.8237460770285), (-47.9068103200571, -15.8246901848209), (-47.9071733790541, -15.8249826657615), (-47.90676602353609, -15.8255681345424), (-47.9071593162609, -15.8258566924016), (-47.9074909931562, -15.8260993052342), (-47.9080019303954, -15.8254071230523), (-47.90956770812601, -15.8233469943482), (-47.90886368811491, -15.8228397005491))"
DF,53,530010805060366,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9175720062514, -15.8333766702977), (-47.9168718233452, -15.8342777820393), (-47.91683062560821, -15.8339608763696), (-47.9165397390315, -15.8337897666186), (-47.9162728716296, -15.8341066529777), (-47.9153096764598, -15.833548898999), (-47.9152335294226, -15.8339580272842), (-47.9145363226972, -15.8349240862066), (-47.9163714805284, -15.8362150014367), (-47.9168547616747, -15.8355708906631), (-47.916605990724, -15.8354053074507), (-47.91793027060029, -15.8336383401147), (-47.9175720062514, -15.8333766702977))"
DF,53,530010805060367,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9227173361951, -15.8328553656147), (-47.9223269303258, -15.833364633004), (-47.9230272918558, -15.8338683149528), (-47.9222980126835, -15.8347774380926), (-47.9227225536987, -15.8350723092758), (-47.92291637487151, -15.8348071479992), (-47.92351015697129, -15.8352351654521), (-47.9228656699643, -15.8360747706779), (-47.9228117960005, -15.8364487193681), (-47.9242727311377, -15.8374913390212), (-47.92659183652059, -15.8362446704602), (-47.92693934003821, -15.8358986863429), (-47.9227173361951, -15.8328553656147))"
DF,53,530010805060368,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9272372406721, -15.8297164508975), (-47.92623386851871, -15.8289679138137), (-47.9251772458164, -15.8303203679374), (-47.9244338443149, -15.8313637206764), (-47.92556593585401, -15.8321996320174), (-47.9257970474089, -15.832136425468), (-47.92599828250909, -15.8318496258369), (-47.92777225382091, -15.8328362363484), (-47.92783968003491, -15.8325299611756), (-47.9281248951376, -15.8320546026711), (-47.9286874089492, -15.8313400580996), (-47.9269377588112, -15.8300595042434), (-47.9272372406721, -15.8297164508975))"
DF,53,530010805060369,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9296434899746, -15.8300820844643), (-47.9279175504571, -15.8288478067652), (-47.9272372406721, -15.8297164508975), (-47.9269377588112, -15.8300595042434), (-47.9286874089492, -15.8313400580996), (-47.9296434899746, -15.8300820844643))"
DF,53,530010805060370,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9167392271506, -15.824291473829), (-47.9162147112551, -15.8239377786946), (-47.9164123811666, -15.8236256266098), (-47.9157672437191, -15.8231742330291), (-47.9155804326718, -15.8234492604043), (-47.9154280922325, -15.8236492997991), (-47.91552159807619, -15.8237218046949), (-47.914967013515, -15.8244032648615), (-47.9148228039979, -15.8242981606389), (-47.914085897419, -15.8252414493931), (-47.9135638969452, -15.8248523244296), (-47.9128902948423, -15.8257523409612), (-47.91426603740099, -15.8267445414679), (-47.9150141570272, -15.8272966619026), (-47.9154647045881, -15.8267113266798), (-47.91621341272101, -15.8257386319129), (-47.91708937090339, -15.8245910005062), (-47.9167392271506, -15.824291473829))"
DF,53,530010805060371,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9165496273855, -15.8198850011888), (-47.91616696808461, -15.820344148755), (-47.9158181900661, -15.8207671162961), (-47.9161239970072, -15.8209572808713), (-47.9155313834049, -15.8217622212722), (-47.9163204785224, -15.8223009609107), (-47.9167841622488, -15.8217255175169), (-47.91779989229369, -15.8224405551379), (-47.9179677938065, -15.8222397585032), (-47.9185925931409, -15.8213676737135), (-47.9185579320329, -15.8213426327823), (-47.91754659682711, -15.820611993263), (-47.9165496273855, -15.8198850011888))"
DF,53,530010805060372,5300108,Brasília,BRASÍLIA,Polygon,"((-47.91616696808461, -15.820344148755), (-47.9147653640933, -15.8193249273404), (-47.9134937609454, -15.8208883013653), (-47.9129019491033, -15.8204558234808), (-47.9123647035007, -15.8211569314432), (-47.9140758879759, -15.8222997461167), (-47.9144234019572, -15.822520814219), (-47.9158181900661, -15.8207671162961), (-47.91616696808461, -15.820344148755))"
DF,53,530010805060373,5300108,Brasília,BRASÍLIA,Polygon,"((-47.8916409548174, -15.8034525382696), (-47.8903467694059, -15.8044814289818), (-47.8889377465073, -15.8056177620827), (-47.8894730071533, -15.8062389241101), (-47.8901291706811, -15.8069747573739), (-47.8905303884872, -15.8074310941971), (-47.8913793123853, -15.8067342152622), (-47.891284447939, -15.8066235400748), (-47.8921276783753, -15.8058229304896), (-47.8914216856832, -15.805078861864), (-47.8912093588845, -15.804838013555), (-47.8921200380267, -15.8040339665673), (-47.891885121206, -15.8037389840308), (-47.8916409548174, -15.8034525382696))"
